,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,result
3423,2,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,1
2709,2,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,1
541,0,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,1
1865,2,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,1
254,2,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,1
22,0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,1
534,1,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,1
2693,2,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,1
3408,2,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,1
301,0,0.68,0.58,0.2,1.787,0.585,0.453,0.6,1
464,0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,1
3394,0,0.565,0.455,0.175,1.013,0.342,0.207,0.35,1
473,0,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,1
1736,2,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,1
3463,0,0.59,0.45,0.16,0.9,0.358,0.156,0.315,1
353,0,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,1
1855,2,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,1
3340,0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,1
2645,0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,1
204,2,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,1
3441,0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,1
1653,2,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,1
2585,0,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,1
3088,2,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,1
1701,2,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,1
